Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team
13,Armel Traor̩,22,SF,8,0,61,3.0,10.6,0.278,0.0,4.1,0.0,3.0,6.5,0.455,0.278,1.2,4.1,0.286,0.6,7.7,8.3,0.6,2.4,1.2,1.2,3.5,7.1,LAL
14,Shake Milton,28,SG,6,0,58,2.5,8.7,0.286,1.2,6.2,0.2,1.2,2.5,0.5,0.357,1.9,2.5,0.75,0.6,5.6,6.2,3.1,0.0,0.6,1.9,1.9,8.1,LAL
15,Maxwell Lewis,22,SF,7,0,29,2.5,7.4,0.333,0.0,0.0,,2.5,7.4,0.333,0.333,0.0,0.0,,2.5,0.0,2.5,2.5,1.2,0.0,2.5,1.2,5.0,LAL
16,Bronny James,20,SG,11,0,25,1.4,14.4,0.1,0.0,5.8,0.0,1.4,8.6,0.167,0.1,2.9,2.9,1.0,1.4,1.4,2.9,4.3,2.9,1.4,0.0,2.9,5.8,LAL
17,Trey Jemison,25,C,2,0,17,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.1,4.2,0.5,2.1,10.6,12.7,0.0,0.0,4.2,2.1,8.5,2.1,LAL
18,Jalen Hood-Schifino,21,SG,2,0,14,2.6,2.6,1.0,0.0,0.0,,2.6,2.6,1.0,1.0,5.1,5.1,1.0,2.6,0.0,2.6,2.6,0.0,2.6,2.6,7.7,10.3,LAL
19,Quincy Olivari,23,PG,2,0,10,3.6,18.0,0.2,3.6,18.0,0.2,0.0,0.0,,0.3,0.0,0.0,,0.0,0.0,0.0,3.6,0.0,0.0,3.6,0.0,10.8,LAL
1,Toumani Camara,24,PF,41,41,1280,4.1,9.7,0.42,1.7,5.0,0.333,2.4,4.7,0.512,0.506,1.2,1.6,0.724,2.6,3.7,6.3,2.3,1.6,0.6,1.7,3.4,11.0,POR
2,Anfernee Simons,25,SG,39,39,1248,7.3,17.4,0.421,3.3,9.1,0.366,4.0,8.3,0.481,0.517,2.5,2.7,0.904,0.3,2.7,3.1,5.5,1.0,0.1,2.5,2.1,20.5,POR
3,Deni Avdija,24,SF,40,22,1139,6.1,13.2,0.462,1.9,5.4,0.347,4.2,7.8,0.54,0.532,3.9,5.0,0.767,1.6,6.6,8.3,4.2,1.3,0.8,3.0,2.7,17.9,POR
4,Shaedon Sharpe,21,SG,35,31,1101,7.7,17.0,0.451,2.2,7.1,0.312,5.5,9.9,0.551,0.516,3.0,3.7,0.805,0.8,3.6,4.4,3.1,0.9,0.3,2.2,2.1,20.6,POR
5,Jerami Grant,30,PF,32,32,1037,5.3,13.9,0.383,2.7,7.0,0.379,2.6,6.8,0.386,0.479,3.3,4.0,0.833,0.6,3.3,3.9,2.4,0.9,1.2,1.6,2.6,16.6,POR
6,Scoot Henderson,20,PG,36,7,971,5.7,13.3,0.429,1.9,5.3,0.352,3.9,8.0,0.479,0.499,3.4,4.5,0.769,0.9,3.2,4.0,7.2,1.5,0.4,3.7,3.5,16.7,POR
7,Deandre Ayton,26,C,32,32,959,7.8,13.7,0.568,0.2,1.1,0.2,7.6,12.6,0.601,0.577,0.8,1.2,0.606,3.6,8.7,12.2,1.8,0.9,1.2,2.0,2.6,16.6,POR
8,Dalano Banton,25,PG,34,0,544,7.2,17.6,0.41,2.7,7.5,0.363,4.5,10.1,0.444,0.487,3.1,4.5,0.691,0.8,3.9,4.7,5.2,1.8,1.1,3.0,2.1,20.3,POR
9,Kris Murray,24,SF,36,0,528,4.6,10.0,0.459,1.1,4.0,0.271,3.5,5.9,0.586,0.514,0.8,1.8,0.444,2.8,2.9,5.7,2.5,0.9,0.5,1.5,2.5,11.0,POR
10,Donovan Clingan,20,C,31,8,516,5.0,9.3,0.537,0.4,1.4,0.3,4.6,8.0,0.579,0.56,1.7,2.4,0.735,5.9,8.1,14.0,1.4,1.0,3.3,2.7,5.5,12.2,POR
11,Jabari Walker,22,SF,31,1,316,4.9,10.6,0.462,0.6,3.2,0.179,4.3,7.4,0.585,0.489,1.5,2.1,0.722,3.0,7.3,10.3,1.7,1.4,0.3,1.8,4.0,11.8,POR
12,Rayan Rupert,20,SG,30,0,263,4.2,10.3,0.413,1.4,4.7,0.294,2.9,5.6,0.512,0.48,1.6,2.2,0.75,2.7,2.5,5.2,1.9,1.1,0.3,2.1,2.6,11.5,POR
13,Robert Williams,27,C,15,2,250,5.3,7.6,0.698,0.1,0.4,0.333,5.2,7.2,0.72,0.708,2.0,2.2,0.933,3.3,7.5,10.8,2.4,1.4,3.5,1.9,2.9,12.8,POR
14,Duop Reath,28,C,20,0,121,4.8,12.8,0.372,3.0,9.5,0.313,1.8,3.3,0.545,0.488,1.8,2.4,0.75,2.4,3.3,5.7,1.8,0.0,0.6,1.2,4.5,14.3,POR
15,Taze Moore,26,SG,2,0,20,3.6,18.0,0.2,1.8,7.2,0.25,1.8,10.8,0.167,0.25,1.8,3.6,0.5,7.2,7.2,14.4,1.8,3.6,0.0,3.6,0.0,10.8,POR
16,Justin Minaya,25,SF,5,0,16,0.0,2.3,0.0,0.0,0.0,,0.0,2.3,0.0,0.0,0.0,0.0,,4.5,2.3,6.8,4.5,2.3,0.0,0.0,6.8,0.0,POR
17,Bryce McGowens,22,SG,4,0,11,9.8,16.4,0.6,0.0,6.5,0.0,9.8,9.8,1.0,0.6,0.0,3.3,0.0,3.3,0.0,3.3,3.3,0.0,0.0,3.3,0.0,19.6,POR
1,Kyrie Irving,32,SG,34,34,1216,9.0,18.7,0.483,3.0,7.1,0.427,6.0,11.5,0.518,0.565,3.6,4.0,0.903,1.1,3.5,4.6,4.9,1.3,0.4,2.3,2.1,24.7,DAL
2,P.J. Washington,26,PF,37,36,1204,5.4,12.5,0.434,1.7,4.6,0.364,3.7,7.9,0.475,0.501,2.5,3.3,0.748,1.6,7.0,8.6,2.4,1.3,1.0,2.0,2.6,15.0,DAL
3,Klay Thompson,34,SF,38,38,1047,6.3,15.4,0.411,3.8,10.0,0.38,2.5,5.4,0.468,0.535,1.2,1.4,0.9,0.8,3.6,4.4,2.6,1.2,0.6,1.8,1.6,17.7,DAL
