Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team
13,Gary Payton II,32,SG,32,6,430,5.8,10.5,0.552,0.6,3.2,0.184,5.2,7.3,0.713,0.58,1.0,1.6,0.632,2.9,5.0,8.0,3.4,1.8,0.8,1.7,4.0,13.1,GSW
14,Gui Santos,22,PF,19,1,204,4.1,8.8,0.46,2.3,5.8,0.394,1.8,3.0,0.588,0.59,0.5,1.1,0.5,2.8,4.2,7.1,3.5,1.2,0.5,1.8,4.4,10.9,GSW
15,De'Anthony Melton,26,SG,6,2,121,6.5,16.1,0.407,3.9,10.4,0.371,2.7,5.7,0.474,0.528,1.5,2.4,0.625,1.8,4.2,6.0,5.1,2.1,0.6,3.0,5.4,18.4,GSW
16,Pat Spencer,28,PG,17,0,120,5.1,12.9,0.395,0.6,3.0,0.2,4.5,9.9,0.455,0.419,2.1,3.0,0.7,2.4,4.2,6.6,8.1,2.4,0.6,3.0,2.1,12.9,GSW
17,Quinten Post,24,PF,5,0,41,7.9,17.6,0.45,2.6,10.5,0.25,5.3,7.0,0.75,0.525,0.9,0.9,1.0,1.8,5.3,7.0,4.4,0.0,1.8,1.8,4.4,19.3,GSW
18,Reece Beekman,23,PG,2,0,4,9.0,9.0,1.0,0.0,0.0,,9.0,9.0,1.0,1.0,0.0,0.0,,9.0,0.0,9.0,9.0,9.0,0.0,0.0,9.0,18.0,GSW
1,Chris Paul,39,PG,41,41,1196,3.9,9.4,0.42,2.2,5.9,0.365,1.8,3.5,0.513,0.535,1.8,1.8,0.967,0.6,4.6,5.2,10.2,1.7,0.3,2.0,2.4,11.8,SAS
2,Victor Wembanyama,21,C,36,36,1193,9.7,20.5,0.473,3.5,9.9,0.354,6.2,10.7,0.584,0.558,3.6,4.3,0.845,1.9,9.7,11.7,4.0,1.2,4.3,3.7,2.4,26.6,SAS
3,Harrison Barnes,32,PF,41,41,1154,4.7,9.9,0.481,1.9,4.6,0.405,2.9,5.2,0.548,0.576,2.9,3.6,0.809,1.8,3.1,4.9,2.2,0.4,0.2,0.7,1.2,14.3,SAS
4,Julian Champagnie,23,SF,41,26,1097,5.2,12.5,0.417,3.3,9.2,0.364,1.9,3.3,0.564,0.551,1.4,1.6,0.898,1.1,4.9,5.9,1.7,1.0,0.7,1.4,1.9,15.2,SAS
5,Stephon Castle,20,PG,40,23,1007,6.0,14.8,0.403,1.4,5.4,0.258,4.6,9.4,0.487,0.45,3.3,4.6,0.713,1.1,2.5,3.6,5.1,1.1,0.4,2.6,2.5,16.6,SAS
6,Keldon Johnson,25,SF,38,0,926,6.8,14.8,0.459,1.6,5.6,0.287,5.2,9.3,0.563,0.513,3.0,3.9,0.77,1.9,5.5,7.3,2.1,1.0,0.4,1.2,2.1,18.2,SAS
7,Devin Vassell,24,SG,26,15,771,7.4,16.9,0.438,2.8,7.5,0.366,4.6,9.3,0.495,0.519,2.2,2.9,0.774,0.9,3.6,4.6,3.8,1.4,0.6,2.1,1.9,19.8,SAS
8,Jeremy Sochan,21,PF,22,19,637,6.6,12.4,0.53,0.6,2.2,0.282,5.9,10.2,0.583,0.555,2.9,4.0,0.729,3.3,6.7,10.0,3.2,1.1,0.8,2.3,2.9,16.6,SAS
9,Zach Collins,27,C,32,4,405,5.2,11.4,0.453,1.2,4.0,0.289,4.0,7.4,0.542,0.504,2.8,3.1,0.886,3.3,5.3,8.6,4.4,1.2,1.2,2.0,6.0,14.2,SAS
10,Tre Jones,25,PG,23,0,375,3.0,6.7,0.443,0.6,2.1,0.273,2.4,4.6,0.521,0.486,1.6,2.1,0.773,1.2,3.6,4.8,8.1,1.4,0.4,1.5,2.6,8.2,SAS
11,Charles Bassey,24,C,29,0,309,6.8,11.5,0.586,0.0,0.0,,6.8,11.5,0.586,0.586,2.1,3.4,0.621,5.5,9.4,14.9,1.4,1.4,3.3,2.4,4.9,15.6,SAS
12,Malaki Branham,21,SG,26,0,272,6.2,14.4,0.431,2.5,6.6,0.38,3.7,7.8,0.475,0.518,2.3,2.6,0.85,0.4,3.7,4.1,3.4,0.9,0.3,3.4,2.0,17.2,SAS
13,Blake Wesley,21,SG,27,0,270,4.8,10.5,0.456,0.5,2.8,0.19,4.3,7.7,0.552,0.481,2.0,2.8,0.714,0.8,2.3,3.1,6.8,1.2,0.4,3.3,1.9,12.1,SAS
14,Sandro Mamukelashvili,25,PF,25,0,213,6.4,11.7,0.551,3.2,7.6,0.422,3.2,4.1,0.792,0.688,2.7,3.7,0.727,2.5,7.9,10.5,1.7,0.7,1.0,1.9,2.7,18.8,SAS
15,Sidy Cissoko,20,SF,14,0,44,6.5,12.3,0.533,2.5,4.9,0.5,4.1,7.4,0.556,0.633,0.0,3.3,0.0,1.6,5.7,7.4,4.9,0.0,0.0,0.8,4.1,15.5,SAS
16,David Duke Jr.,25,SG,1,0,8,4.5,18.0,0.25,0.0,4.5,0.0,4.5,13.5,0.333,0.25,4.5,9.0,0.5,0.0,0.0,0.0,9.0,0.0,0.0,0.0,4.5,13.5,SAS
17,Riley Minix,24,SF,1,0,7,0.0,5.1,0.0,0.0,5.1,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,10.3,10.3,0.0,0.0,0.0,0.0,0.0,0.0,SAS
18,Harrison Ingram,22,SF,1,0,7,0.0,5.1,0.0,0.0,0.0,,0.0,5.1,0.0,0.0,0.0,0.0,,0.0,5.1,5.1,0.0,0.0,0.0,0.0,5.1,0.0,SAS
1,De'Aaron Fox,27,PG,40,40,1487,9.1,19.1,0.475,1.9,6.0,0.317,7.2,13.1,0.548,0.525,4.7,5.7,0.823,1.0,3.9,5.0,6.1,1.5,0.4,3.1,2.6,24.8,SAC
2,Domantas Sabonis,28,C,40,40,1442,8.2,13.5,0.606,1.2,2.4,0.485,7.0,11.1,0.633,0.65,3.3,4.3,0.778,3.9,10.4,14.3,6.2,0.7,0.5,2.9,3.5,20.9,SAC
3,Keegan Murray,24,PF,40,40,1421,4.7,11.0,0.424,1.8,5.8,0.314,2.8,5.2,0.546,0.507,0.9,1.1,0.837,2.1,5.1,7.2,1.4,0.8,0.9,0.9,2.7,12.1,SAC
4,DeMar DeRozan,35,SF,38,38,1361,8.2,17.0,0.482,0.9,2.7,0.327,7.3,14.3,0.511,0.508,4.7,5.4,0.864,0.5,3.3,3.9,3.8,1.3,0.4,1.5,2.1,21.9,SAC
5,Malik Monk,26,SG,35,22,1105,7.2,16.3,0.442,2.7,8.0,0.341,4.5,8.3,0.539,0.526,3.0,3.4,0.894,0.4,3.7,4.2,6.4,1.2,0.6,2.2,2.8,20.2,SAC
6,Keon Ellis,25,SG,41,10,879,4.2,8.6,0.483,2.7,6.1,0.447,1.4,2.5,0.574,0.642,1.8,2.0,0.86,1.3,2.7,4.0,2.0,2.3,1.2,1.3,3.2,12.9,SAC
7,Kevin Huerter,26,SG,39,15,866,5.2,12.4,0.416,2.5,8.1,0.301,2.7,4.2,0.637,0.515,0.8,1.1,0.704,0.8,4.1,4.9,2.9,1.5,0.7,1.5,2.9,13.6,SAC
8,Trey Lyles,29,PF,33,2,674,4.0,10.0,0.399,2.5,7.1,0.348,1.5,3.0,0.518,0.521,1.5,1.9,0.778,1.8,6.4,8.2,1.7,1.0,0.9,1.1,2.3,12.0,SAC
9,Alex Len,31,C,32,3,243,3.3,5.9,0.55,0.1,0.7,0.2,3.1,5.2,0.6,0.563,1.0,1.9,0.538,3.6,5.6,9.2,4.3,1.2,2.7,1.3,4.7,7.7,SAC
10,Doug McDermott,33,SF,26,3,221,5.0,11.9,0.425,4.2,10.3,0.413,0.8,1.6,0.5,0.603,0.5,0.8,0.6,0.3,2.3,2.6,0.7,0.7,0.2,0.7,3.6,14.8,SAC
11,Jordan McLaughlin,28,PG,26,0,180,3.2,8.4,0.381,2.0,5.0,0.4,1.2,3.4,0.353,0.5,2.0,2.8,0.714,0.8,3.4,4.2,4.8,2.0,0.0,2.2,2.6,10.4,SAC
12,Isaac Jones,24,PF,22,0,176,6.5,10.0,0.653,0.2,0.8,0.25,6.3,9.2,0.689,0.663,2.3,4.1,0.55,2.0,4.3,6.3,0.8,0.4,1.6,2.3,4.5,15.5,SAC
13,Colby Jones,22,SG,23,0,122,3.2,7.4,0.44,1.2,2.7,0.444,2.1,4.7,0.438,0.52,0.0,0.0,,1.8,4.1,5.9,1.5,1.5,1.8,2.1,3.8,7.7,SAC
14,Devin Carter,22,PG,8,0,98,4.4,13.6,0.324,2.2,7.3,0.3,2.2,6.2,0.353,0.405,2.6,3.7,0.7,1.5,8.1,9.6,4.0,0.4,1.1,1.5,2.9,13.6,SAC
15,Jae Crowder,34,PF,7,2,92,2.3,6.7,0.353,1.2,4.7,0.25,1.2,2.0,0.6,0.441,2.0,2.3,0.833,2.3,4.3,6.7,1.6,1.2,0.0,1.6,3.9,7.8,SAC
16,Orlando Robinson,24,C,9,0,57,4.4,10.7,0.412,0.6,3.2,0.2,3.8,7.6,0.5,0.441,2.5,4.4,0.571,1.9,6.9,8.8,5.7,1.9,0.6,2.5,3.8,12.0,SAC
17,Mason Jones,26,SG,3,0,13,0.0,5.5,0.0,0.0,5.5,0.0,0.0,0.0,,0.0,0.0,0.0,,2.8,8.3,11.1,19.4,0.0,0.0,0.0,2.8,0.0,SAC
18,Isaiah Crawford,23,SF,3,0,9,4.0,8.0,0.5,0.0,0.0,,4.0,8.0,0.5,0.5,0.0,0.0,,0.0,12.0,12.0,0.0,0.0,0.0,0.0,4.0,8.0,SAC
1,Anthony Edwards,23,SG,44,44,1616,8.7,19.8,0.44,4.1,9.6,0.426,4.6,10.2,0.454,0.544,4.1,4.9,0.836,0.7,4.9,5.7,4.2,1.1,0.5,3.3,1.8,25.6,MIN
2,Julius Randle,30,PF,44,44,1454,7.1,15.2,0.468,1.7,5.0,0.332,5.4,10.2,0.535,0.523,4.7,5.8,0.808,2.3,5.6,7.9,4.9,0.7,0.2,3.2,2.8,20.6,MIN
3,Rudy Gobert,32,C,44,44,1452,4.3,6.6,0.642,0.0,0.0,,4.3,6.6,0.642,0.642,2.6,3.7,0.687,3.5,7.6,11.1,1.9,0.6,1.6,1.5,2.7,11.1,MIN
4,Jaden McDaniels,24,PF,44,44,1359,4.8,10.6,0.455,1.5,4.5,0.325,3.4,6.2,0.549,0.524,1.1,1.4,0.755,1.7,4.2,5.9,1.8,1.6,1.0,1.2,3.4,12.2,MIN
5,Naz Reid,25,C,44,0,1111,7.2,14.9,0.479,3.0,7.3,0.407,4.2,7.6,0.549,0.579,2.1,2.7,0.783,1.3,6.1,7.5,2.4,1.1,1.2,1.7,3.5,19.4,MIN
6,Donte DiVincenzo,28,SG,40,8,1057,5.0,12.7,0.397,3.5,9.5,0.369,1.5,3.2,0.479,0.535,1.4,1.7,0.82,0.8,4.2,5.0,4.9,1.6,0.2,2.4,2.1,15.0,MIN
7,Nickeil Alexander-Walker,26,SG,44,2,1010,4.7,10.5,0.449,2.5,6.1,0.404,2.2,4.4,0.512,0.566,1.1,1.6,0.696,0.9,3.5,4.3,3.7,1.0,0.5,2.0,2.6,13.0,MIN
8,Mike Conley,37,PG,40,34,980,3.7,10.1,0.367,2.6,6.8,0.382,1.1,3.3,0.337,0.496,1.8,2.1,0.893,0.7,3.2,3.9,6.4,1.8,0.3,1.6,2.2,11.9,MIN
9,Josh Minott,22,SF,26,0,188,5.7,11.3,0.508,1.1,5.0,0.231,4.6,6.3,0.727,0.559,1.3,1.7,0.778,1.1,4.4,5.6,2.5,2.1,1.7,1.3,4.6,14.0,MIN
10,Rob Dillingham,20,PG,19,0,185,7.4,15.2,0.487,2.9,6.4,0.455,4.5,8.8,0.511,0.583,0.0,0.0,,0.4,2.5,2.9,6.4,0.4,0.0,3.9,2.9,17.7,MIN
11,Luka Garza,26,C,13,0,56,10.3,18.0,0.571,1.3,5.1,0.25,9.0,12.9,0.7,0.607,3.2,5.1,0.625,2.6,5.1,7.7,0.6,0.6,0.0,2.6,5.1,25.1,MIN
12,Terrence Shannon Jr.,24,SG,10,0,45,5.6,10.4,0.538,0.8,2.4,0.333,4.8,8.0,0.6,0.577,0.0,0.0,,0.0,1.6,1.6,4.0,1.6,0.8,2.4,0.8,12.0,MIN
13,Joe Ingles,37,SF,9,0,35,0.0,3.1,0.0,0.0,2.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,2.1,0.0,2.1,9.3,0.0,0.0,1.0,6.2,0.0,MIN
14,PJ Dozier,28,SG,9,0,35,2.1,3.1,0.667,2.1,3.1,0.667,0.0,0.0,,1.0,1.0,6.2,0.167,1.0,4.1,5.1,5.1,1.0,0.0,1.0,3.1,7.2,MIN
15,Daishen Nix,22,PG,3,0,13,0.0,2.8,0.0,0.0,2.8,0.0,0.0,0.0,,0.0,2.8,5.5,0.5,0.0,11.1,11.1,8.3,0.0,0.0,11.1,2.8,2.8,MIN
16,Leonard Miller,21,SF,3,0,6,0.0,12.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,12.0,12.0,1.0,6.0,12.0,18.0,0.0,6.0,0.0,6.0,6.0,12.0,MIN
17,Jaylen Clark,23,SG,3,0,6,0.0,12.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,6.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,MIN
18,Tristen Newton,23,SG,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,36.0,36.0,0.0,0.0,0.0,0.0,36.0,0.0,MIN
1,Fred VanVleet,30,PG,40,40,1432,5.3,13.6,0.393,2.7,7.9,0.344,2.6,5.7,0.46,0.493,2.0,2.4,0.813,0.7,3.3,4.1,5.9,1.7,0.5,1.6,2.5,15.3,HOU
2,Jalen Green,22,SG,43,43,1410,8.2,19.0,0.432,3.1,8.7,0.36,5.1,10.2,0.494,0.515,3.8,4.4,0.872,0.6,4.1,4.7,3.0,1.0,0.4,2.7,1.9,23.4,HOU
3,Alperen ÅengÃ¼n,22,C,43,43,1346,8.8,18.0,0.49,0.4,1.7,0.226,8.5,16.4,0.516,0.5,4.0,5.7,0.712,3.9,8.1,12.0,5.8,1.5,1.0,2.9,3.1,22.1,HOU
4,Dillon Brooks,29,SF,40,40,1278,5.2,12.9,0.406,2.5,6.7,0.367,2.8,6.2,0.448,0.501,1.5,1.7,0.855,1.4,2.8,4.2,1.8,0.9,0.3,1.1,3.9,14.4,HOU
5,Amen Thompson,22,SF,40,13,1202,6.0,10.9,0.554,0.4,1.6,0.245,5.6,9.3,0.606,0.572,3.1,4.5,0.691,3.3,6.3,9.6,3.0,1.6,1.3,2.3,2.8,15.5,HOU
6,Jabari Smith Jr.,21,PF,33,33,1021,4.8,11.0,0.435,2.0,5.6,0.354,2.8,5.5,0.516,0.524,2.3,2.6,0.867,2.1,5.5,7.6,1.2,0.4,1.1,1.1,2.6,13.9,HOU
7,Tari Eason,23,PF,28,0,641,6.9,14.5,0.477,1.6,4.7,0.333,5.3,9.8,0.546,0.531,2.8,3.8,0.746,3.4,6.3,9.7,1.8,3.3,1.3,1.3,3.8,18.2,HOU
8,Cam Whitmore,20,SF,25,0,417,8.5,19.3,0.442,2.8,8.7,0.327,5.7,10.6,0.537,0.516,2.4,3.3,0.737,1.8,5.2,7.0,1.7,1.3,0.6,1.9,1.9,22.4,HOU
9,Reed Sheppard,20,PG,32,0,360,3.9,12.4,0.315,2.0,7.3,0.274,1.9,5.1,0.373,0.395,0.5,0.6,0.833,1.0,3.0,4.0,3.7,1.7,1.0,1.9,2.8,10.3,HOU
10,Aaron Holiday,28,PG,31,0,334,4.4,10.7,0.414,2.6,6.9,0.375,1.8,3.8,0.486,0.535,1.6,1.8,0.882,0.6,2.7,3.3,3.7,1.4,0.3,1.5,2.8,13.0,HOU
11,Steven Adams,31,C,29,0,323,3.6,6.0,0.593,0.0,0.0,,3.6,6.0,0.593,0.593,1.8,4.9,0.364,7.8,8.0,15.8,3.6,0.8,1.3,3.1,3.1,8.9,HOU
12,Jae'Sean Tate,29,SF,24,1,257,4.5,9.8,0.457,0.8,2.5,0.333,3.6,7.3,0.5,0.5,2.2,3.5,0.64,3.1,4.6,7.7,2.7,1.8,0.3,1.5,6.2,12.0,HOU
13,Jock Landale,29,C,21,0,193,4.5,10.8,0.414,0.6,1.3,0.429,3.9,9.5,0.412,0.44,2.4,4.1,0.591,4.7,5.8,10.4,2.8,0.7,1.3,1.9,2.8,11.9,HOU
14,Jeff Green,38,PF,13,2,137,5.3,9.7,0.541,2.1,6.0,0.348,3.2,3.7,0.857,0.649,1.8,2.4,0.778,0.5,4.2,4.7,0.8,0.8,0.3,0.8,3.7,14.5,HOU
15,Jack McVeigh,28,PF,6,0,21,5.1,18.9,0.273,3.4,13.7,0.25,1.7,5.1,0.333,0.364,0.0,0.0,,1.7,5.1,6.9,1.7,0.0,1.7,1.7,1.7,13.7,HOU
16,Jeenathan Williams,25,SG,6,0,21,12.0,15.4,0.778,3.4,6.9,0.5,8.6,8.6,1.0,0.889,0.0,0.0,,0.0,5.1,5.1,1.7,3.4,1.7,1.7,1.7,27.4,HOU
1,Yves Missi,20,C,41,35,1111,4.8,8.5,0.561,0.0,0.0,0.0,4.8,8.5,0.563,0.561,2.5,3.8,0.661,4.8,6.0,10.9,1.9,0.8,1.9,1.6,3.0,12.1,NOP
2,CJ McCollum,33,PG,31,31,1042,9.1,20.0,0.453,3.4,9.2,0.374,5.6,10.8,0.521,0.539,2.5,3.5,0.71,0.8,3.2,4.0,4.1,0.9,0.6,1.8,2.5,24.0,NOP
3,Trey Murphy III,24,SF,28,26,980,7.3,16.3,0.449,3.2,8.9,0.358,4.2,7.4,0.559,0.547,4.3,4.7,0.907,1.0,4.1,5.1,3.0,1.2,0.8,1.6,2.5,22.2,NOP
4,Brandon Boston Jr.,23,SG,39,10,927,5.9,13.6,0.436,1.7,5.0,0.346,4.2,8.6,0.489,0.5,2.5,3.1,0.81,1.0,3.8,4.9,3.5,1.8,0.3,1.9,2.6,16.1,NOP
5,Dejounte Murray,28,PG,27,27,903,6.7,17.5,0.384,1.9,6.3,0.302,4.8,11.1,0.43,0.438,3.2,3.9,0.825,0.6,6.5,7.1,8.3,2.4,0.4,3.8,2.3,18.5,NOP
6,Javonte Green,31,SG,39,15,849,3.5,7.6,0.464,1.3,3.3,0.385,2.2,4.3,0.525,0.547,1.7,2.2,0.765,1.7,4.0,5.7,1.4,1.7,1.2,1.1,2.5,10.0,NOP
7,Jeremiah Robinson-Earl,24,PF,37,5,684,4.5,9.9,0.45,1.4,4.5,0.306,3.1,5.5,0.567,0.519,1.3,1.5,0.862,3.6,5.9,9.6,2.6,1.4,0.3,1.4,2.5,11.6,NOP
8,Herbert Jones,26,SF,20,20,648,4.2,9.6,0.436,1.2,4.0,0.306,2.9,5.6,0.53,0.5,1.8,2.2,0.825,1.2,3.1,4.3,3.6,2.1,0.5,1.9,3.7,11.4,NOP
9,Jordan Hawkins,22,SG,28,4,636,5.7,15.8,0.361,3.1,9.4,0.331,2.6,6.5,0.404,0.459,2.7,3.2,0.825,0.7,3.3,4.0,1.5,0.8,0.7,1.4,1.2,17.2,NOP
10,Brandon Ingram,27,SF,18,18,595,9.4,20.1,0.465,2.6,7.0,0.374,6.8,13.2,0.514,0.53,2.8,3.3,0.855,1.0,5.0,6.1,5.6,1.0,0.7,4.2,2.7,24.2,NOP
11,Daniel Theis,32,C,34,9,562,3.8,7.7,0.492,0.6,2.2,0.257,3.2,5.4,0.588,0.529,1.9,2.2,0.829,2.6,7.1,9.7,3.4,1.0,1.2,1.5,4.0,10.0,NOP
12,Jose Alvarado,26,PG,21,7,460,5.4,13.7,0.394,3.7,9.0,0.409,1.7,4.7,0.367,0.529,1.6,2.0,0.808,0.9,2.5,3.4,6.6,2.4,0.4,1.8,3.4,16.1,NOP
13,Zion Williamson,24,PF,10,10,289,10.2,21.1,0.485,0.2,1.2,0.2,10.0,19.8,0.503,0.491,6.6,10.6,0.624,4.2,6.0,10.2,6.7,1.5,1.5,4.2,3.6,27.3,NOP
14,Jamal Cain,25,SF,17,0,227,4.0,9.0,0.439,1.4,4.8,0.3,2.5,4.3,0.593,0.518,1.6,2.5,0.625,2.5,4.8,7.3,1.6,1.4,1.1,1.1,3.3,10.9,NOP
15,Jaylen Nowell,25,SG,8,0,168,5.6,15.6,0.356,1.7,5.8,0.296,3.9,9.9,0.391,0.411,1.5,2.4,0.636,1.3,3.0,4.3,3.9,0.2,0.9,1.7,1.9,14.4,NOP
16,Trey Jemison,25,C,16,0,166,3.3,6.9,0.469,0.0,0.0,,3.3,6.9,0.469,0.469,1.7,4.6,0.381,4.8,4.8,9.5,2.2,1.5,1.3,2.2,5.9,8.2,NOP
17,Antonio Reeves,24,SG,17,0,155,7.2,17.2,0.419,2.6,8.6,0.297,4.6,8.6,0.541,0.493,1.6,1.9,0.875,1.4,2.8,4.2,2.3,1.4,0.0,1.2,1.6,18.6,NOP
18,Elfrid Payton,30,PG,7,3,144,5.7,11.5,0.5,0.0,0.2,0.0,5.7,11.3,0.511,0.5,0.2,0.5,0.5,1.2,4.7,6.0,12.0,2.5,0.7,5.0,2.5,11.7,NOP
19,Karlo MatkoviÄ,23,PF,8,0,64,2.8,6.2,0.455,0.0,1.1,0.0,2.8,5.1,0.556,0.455,0.0,0.0,,4.5,5.6,10.1,1.7,2.8,3.4,3.4,6.2,5.6,NOP
